iter	MAE
0	8.166167013
1	7.653371906
2	7.17988203
3	6.747104988
4	6.348746982
5	5.995449219
6	5.684110551
7	5.409938364
8	5.160450198
9	4.942544361
10	4.755518445
11	4.59549142
12	4.458747204
13	4.344868179
14	4.250853714
15	4.167604025
16	4.094991476
17	4.033273291
18	3.980690572
19	3.936156106
20	3.898739295
21	3.866278872
22	3.840258432
23	3.816562803
24	3.797789228
25	3.781188456
26	3.766156189
27	3.754585809
28	3.744717573
29	3.736019167
30	3.728710616
31	3.722771719
32	3.716991911
33	3.712390256
34	3.708798427
35	3.704678039
36	3.701406195
37	3.698678416
38	3.696773874
39	3.694560834
40	3.693021299
41	3.691653623
42	3.690158954
43	3.688814837
44	3.688150096
45	3.686984994
46	3.686069269
47	3.685169738
48	3.684546149
49	3.683904535
50	3.683298083
51	3.682800381
52	3.682408552
53	3.681199547
54	3.681009583
55	3.680650643
56	3.680000512
57	3.679685731
58	3.679514812
59	3.679324698
60	3.679057368
61	3.67889479
62	3.678689297
63	3.678603766
64	3.678477639
65	3.678432681
66	3.678341888
67	3.678272135
68	3.678206656
69	3.677156355
70	3.676691596
71	3.676631277
72	3.67659006
73	3.676501661
74	3.676118603
75	3.676024205
76	3.675809597
77	3.675652972
78	3.674883761
79	3.674770216
80	3.674636821
81	3.674443037
82	3.674421069
83	3.674218173
84	3.674160295
85	3.673515267
86	3.673481957
87	3.673134443
88	3.67254937
89	3.672228713
90	3.672055394
91	3.671967165
92	3.671603847
93	3.671535591
94	3.671389153
95	3.670792788
96	3.670550377
97	3.670143759
98	3.669697545
99	3.669544821
100	3.669544326
101	3.669111915
102	3.669011117
103	3.668973528
104	3.668955719
105	3.668736088
106	3.668434879
107	3.668377485
108	3.668245285
109	3.667970179
110	3.667945157
111	3.667824708
112	3.667823921
113	3.66782353
114	3.667788245
115	3.667693037
116	3.66769267
117	3.667567103
118	3.667246883
119	3.66715895
120	3.667042691
121	3.667014051
122	3.666801371
123	3.666750914
124	3.666681028
125	3.666679777
126	3.66642369
127	3.666332495
128	3.666332075
129	3.666216677
130	3.666090645
131	3.665900861
132	3.665819901
133	3.665735542
134	3.665506492
135	3.665442791
136	3.665414646
137	3.665280473
138	3.66519442
139	3.664829526
140	3.664737285
141	3.664527282
142	3.664489321
143	3.664467495
144	3.664243039
145	3.664018582
146	3.664001217
147	3.663774859
148	3.663774578
149	3.663708374
150	3.663360463
151	3.663225374
152	3.663176234
153	3.662948536
154	3.662879372
155	3.662635196
156	3.662489257
157	3.662302131
158	3.66207913
159	3.661987988
160	3.661670198
161	3.661474863
162	3.661226699
163	3.661174565
164	3.661000844
165	3.660952963
166	3.660919253
167	3.660892308
168	3.660536312
169	3.660195393
170	3.659954349
171	3.659696386
172	3.659676974
173	3.65932993
174	3.659303347
175	3.659130177
176	3.65885609
177	3.658808362
178	3.658801391
179	3.658743965
180	3.658688485
