iter	Passed	Remaining
0	73	88679
1	108	64702
2	176	70601
3	239	71711
4	310	74106
5	370	73771
6	422	72036
7	482	71950
8	556	73604
9	621	73972
10	687	74358
11	757	74956
12	822	75124
13	872	73881
14	937	74075
15	995	73646
16	1067	74276
17	1134	74513
18	1196	74350
19	1264	74602
20	1320	74162
21	1400	74966
22	1481	75834
23	1561	76508
24	1629	76584
25	1688	76233
26	1750	76061
27	1820	76201
28	1882	76021
29	1951	76091
30	2023	76295
31	2083	76063
32	2152	76119
33	2215	75975
34	2249	74881
35	2311	74735
36	2372	74577
37	2437	74538
38	2497	74340
39	2568	74484
40	2629	74329
41	2702	74520
42	2773	74633
43	2833	74443
44	2862	73464
45	2933	73593
46	2996	73498
47	3068	73633
48	3124	73399
49	3198	73566
50	3264	73541
51	3328	73472
52	3394	73464
53	3462	73492
54	3505	72969
55	3567	72885
56	3637	72939
57	3700	72860
58	3765	72811
59	3817	72530
60	3894	72717
61	3966	72807
62	4037	72870
63	4100	72778
64	4162	72687
65	4216	72454
66	4276	72318
67	4337	72208
68	4400	72123
69	4476	72258
70	4545	72285
71	4600	72074
72	4657	71898
73	4719	71808
74	4783	71745
75	4850	71735
76	4914	71676
77	4983	71679
78	5047	71619
79	5110	71541
80	5174	71483
81	5235	71375
82	5277	71021
83	5341	70959
84	5402	70872
85	5472	70883
86	5520	70621
87	5587	70601
88	5659	70648
89	5735	70740
90	5803	70720
91	5873	70733
92	5949	70820
93	6013	70753
94	6087	70809
95	6155	70783
96	6224	70784
97	6297	70816
98	6354	70665
99	6429	70729
100	6455	70242
101	6513	70113
102	6581	70101
103	6645	70035
104	6707	69951
105	6768	69859
106	6841	69889
107	6914	69914
108	6981	69880
109	7041	69775
110	7104	69696
111	7174	69696
112	7203	69292
113	7232	68895
114	7291	68790
115	7349	68675
116	7378	68298
117	7442	68244
118	7506	68189
119	7572	68154
120	7644	68173
121	7708	68114
122	7783	68153
123	7849	68116
124	7913	68052
125	7951	67772
126	8017	67741
127	8089	67746
128	8114	67366
129	8167	67228
130	8217	67057
131	8292	67096
132	8363	67095
133	8425	67030
134	8496	67027
135	8553	66921
136	8625	66926
137	8694	66909
138	8761	66878
139	8822	66796
140	8879	66689
141	8946	66657
142	9013	66622
143	9065	66479
144	9137	66484
145	9198	66407
146	9265	66372
147	9329	66312
148	9354	65982
149	9423	65967
150	9496	65975
151	9561	65927
152	9627	65883
153	9696	65860
154	9778	65925
155	9846	65893
156	9920	65905
157	9992	65899
158	10063	65885
159	10126	65823
160	10201	65835
161	10271	65811
162	10340	65787
163	10410	65763
164	10475	65707
165	10569	65838
166	10637	65799
167	10702	65746
168	10771	65712
169	10845	65711
170	10912	65665
171	10976	65603
172	11049	65593
173	11123	65591
174	11196	65577
175	11268	65562
176	11344	65564
177	11407	65496
178	11470	65424
179	11537	65376
180	11600	65307
181	11674	65300
182	11741	65252
183	11813	65233
184	11890	65237
185	11962	65216
186	12034	65192
187	12108	65178
188	12173	65116
189	12248	65108
190	12325	65111
191	12391	65056
192	12461	65021
193	12536	65009
194	12609	64987
195	12674	64924
196	12747	64904
197	12823	64895
198	12900	64891
199	12975	64876
200	13048	64851
201	13117	64810
202	13192	64792
203	13265	64766
