stop_id,stop_name,stop_lat,stop_lon
S001,Stop S001,59.3293,18.0836
S002,Stop S002,59.344188,18.066772
S003,Stop S003,59.325671,18.054046
S004,Stop S004,59.315296,18.073976
S005,Stop S005,59.336342,18.081844
S006,Stop S006,59.341587,18.059996
S007,Stop S007,59.319263,18.057453
S008,Stop S008,59.319459,18.079921
S009,Stop S009,59.341736,18.076988
S010,Stop S010,59.33611,18.055235
S011,Stop S011,59.315205,18.06347
S012,Stop S012,59.325926,18.083216
S013,Stop S013,59.344218,18.070168
S014,Stop S014,59.329038,18.053602
S015,Stop S015,59.314446,18.070688
S016,Stop S016,59.333182,18.083089
S017,Stop S017,59.343208,18.062981
S018,Stop S018,59.322028,18.055481
S019,Stop S019,59.317165,18.077417
S020,Stop S020,59.33953,18.07957
S021,Stop S021,59.338942,18.057109
S022,Stop S022,59.31672,18.06043
S023,Stop S023,59.322724,18.082082
S024,Stop S024,59.343483,18.073484
S025,Stop S025,59.332419,18.053928
S026,Stop S026,59.314357,18.067293
S027,Stop S027,59.329823,18.083591
S028,Stop S028,59.344115,18.066253
S029,Stop S029,59.325165,18.054181
S030,Stop S030,59.315492,18.074461
S031,Stop S031,59.3368,18.08159
S032,Stop S032,59.34128,18.059573
S033,Stop S033,59.31888,18.05781
S034,Stop S034,59.31986,18.080257
S035,Stop S035,59.342021,18.076549
S036,Stop S036,59.335639,18.055005
S037,Stop S037,59.315034,18.063965
S038,Stop S038,59.326438,18.083324
S039,Stop S039,59.344263,18.069646
S040,Stop S040,59.328515,18.053621
S041,Stop S041,59.314528,18.071205
S042,Stop S042,59.333686,18.082945
S043,Stop S043,59.343003,18.062499
S044,Stop S044,59.321574,18.055742
S045,Stop S045,59.31748,18.077835
S046,Stop S046,59.339907,18.079207
S047,Stop S047,59.338535,18.05678
S048,Stop S048,59.316442,18.060874
S049,Stop S049,59.323199,18.082303
S050,Stop S050,59.343645,18.072986
S051,Stop S051,59.331905,18.053828
S052,Stop S052,59.314321,18.067815
S053,Stop S053,59.330346,18.083563
S054,Stop S054,59.344024,18.065738
S055,Stop S055,59.324665,18.054334
S056,Stop S056,59.315705,18.074939
S057,Stop S057,59.337249,18.081321
S058,Stop S058,59.340957,18.05916
S059,Stop S059,59.31851,18.05818
S060,Stop S060,59.320273,18.08058
