trip_id,arrival_time,departure_time,stop_id,stop_sequence
T003,2025-03-03T06:42:00,2025-03-03T06:42:37,S001,1
T003,2025-03-03T06:46:57,2025-03-03T06:47:23,S002,2
T003,2025-03-03T06:50:16,2025-03-03T06:51:00,S003,3
T003,2025-03-03T06:55:51,2025-03-03T06:56:34,S004,4
T003,2025-03-03T06:59:32,2025-03-03T07:00:15,S005,5
T003,2025-03-03T07:03:16,2025-03-03T07:03:31,S006,6
T003,2025-03-03T07:07:35,2025-03-03T07:07:59,S007,7
T003,2025-03-03T07:11:18,2025-03-03T07:11:40,S008,8
T003,2025-03-03T07:15:59,2025-03-03T07:16:20,S009,9
T003,2025-03-03T07:20:44,2025-03-03T07:21:09,S010,10
T003,2025-03-03T07:25:04,2025-03-03T07:25:29,S011,11
T003,2025-03-03T07:29:55,2025-03-03T07:30:38,S012,12
T004,2025-03-03T07:01:00,2025-03-03T07:01:26,S012,1
T004,2025-03-03T07:06:48,2025-03-03T07:07:05,S011,2
T004,2025-03-03T07:10:26,2025-03-03T07:11:05,S010,3
T004,2025-03-03T07:15:31,2025-03-03T07:15:52,S009,4
T004,2025-03-03T07:20:44,2025-03-03T07:21:00,S008,5
T004,2025-03-03T07:26:15,2025-03-03T07:26:49,S007,6
T004,2025-03-03T07:30:04,2025-03-03T07:30:26,S006,7
T004,2025-03-03T07:36:01,2025-03-03T07:36:20,S005,8
T004,2025-03-03T07:40:05,2025-03-03T07:40:30,S004,9
T004,2025-03-03T07:45:32,2025-03-03T07:45:58,S003,10
T004,2025-03-03T07:49:39,2025-03-03T07:50:12,S002,11
T004,2025-03-03T07:53:24,2025-03-03T07:53:58,S001,12
T005,2025-03-03T07:20:00,2025-03-03T07:20:33,S001,1
T005,2025-03-03T07:25:25,2025-03-03T07:25:42,S002,2
T005,2025-03-03T07:29:47,2025-03-03T07:30:02,S003,3
T005,2025-03-03T07:35:36,2025-03-03T07:36:15,S004,4
T005,2025-03-03T07:41:36,2025-03-03T07:42:15,S005,5
T005,2025-03-03T07:45:46,2025-03-03T07:46:08,S006,6
T005,2025-03-03T07:50:00,2025-03-03T07:50:41,S007,7
T005,2025-03-03T07:56:06,2025-03-03T07:56:31,S008,8
T005,2025-03-03T08:00:34,2025-03-03T08:01:08,S009,9
T005,2025-03-03T08:06:35,2025-03-03T08:06:52,S010,10
T005,2025-03-03T08:10:10,2025-03-03T08:10:54,S011,11
T005,2025-03-03T08:14:13,2025-03-03T08:14:33,S012,12
T006,2025-03-03T07:37:00,2025-03-03T07:37:28,S012,1
T006,2025-03-03T07:43:01,2025-03-03T07:43:36,S011,2
T006,2025-03-03T07:48:19,2025-03-03T07:48:36,S010,3
T006,2025-03-03T07:52:06,2025-03-03T07:52:27,S009,4
T006,2025-03-03T07:57:28,2025-03-03T07:57:54,S008,5
T006,2025-03-03T08:02:44,2025-03-03T08:03:10,S007,6
T006,2025-03-03T08:07:26,2025-03-03T08:07:42,S006,7
T006,2025-03-03T08:12:09,2025-03-03T08:12:32,S005,8
T006,2025-03-03T08:16:25,2025-03-03T08:16:48,S004,9
T006,2025-03-03T08:20:08,2025-03-03T08:20:27,S003,10
T006,2025-03-03T08:25:51,2025-03-03T08:26:35,S002,11
T006,2025-03-03T08:31:10,2025-03-03T08:31:33,S001,12
T007,2025-03-03T08:00:00,2025-03-03T08:00:38,S001,1
T007,2025-03-03T08:04:48,2025-03-03T08:05:05,S002,2
T007,2025-03-03T08:08:55,2025-03-03T08:09:19,S003,3
T007,2025-03-03T08:13:15,2025-03-03T08:13:35,S004,4
T007,2025-03-03T08:17:11,2025-03-03T08:17:55,S005,5
T007,2025-03-03T08:22:39,2025-03-03T08:22:55,S006,6
T007,2025-03-03T08:27:14,2025-03-03T08:27:37,S007,7
T007,2025-03-03T08:30:46,2025-03-03T08:31:03,S008,8
T007,2025-03-03T08:34:49,2025-03-03T08:35:12,S009,9
T007,2025-03-03T08:38:33,2025-03-03T08:38:56,S010,10
T007,2025-03-03T08:43:17,2025-03-03T08:43:46,S011,11
T007,2025-03-03T08:48:29,2025-03-03T08:49:13,S012,12
T008,2025-03-03T08:17:00,2025-03-03T08:17:18,S012,1
T008,2025-03-03T08:22:17,2025-03-03T08:22:49,S011,2
T008,2025-03-03T08:27:08,2025-03-03T08:27:29,S010,3
T008,2025-03-03T08:32:25,2025-03-03T08:32:41,S009,4
T008,2025-03-03T08:35:54,2025-03-03T08:36:35,S008,5
T008,2025-03-03T08:41:02,2025-03-03T08:41:43,S007,6
T008,2025-03-03T08:46:43,2025-03-03T08:47:07,S006,7
T008,2025-03-03T08:51:34,2025-03-03T08:52:08,S005,8
T008,2025-03-03T08:57:41,2025-03-03T08:58:24,S004,9
T008,2025-03-03T09:03:00,2025-03-03T09:03:40,S003,10
T008,2025-03-03T09:07:36,2025-03-03T09:08:20,S002,11
T008,2025-03-03T09:13:52,2025-03-03T09:14:28,S001,12
T009,2025-03-03T08:37:00,2025-03-03T08:37:36,S001,1
T009,2025-03-03T08:41:44,2025-03-03T08:42:23,S002,2
T009,2025-03-03T08:46:22,2025-03-03T08:47:06,S003,3
T009,2025-03-03T08:51:16,2025-03-03T08:51:36,S004,4
T009,2025-03-03T08:55:14,2025-03-03T08:55:44,S005,5
T009,2025-03-03T09:00:15,2025-03-03T09:00:40,S006,6
T009,2025-03-03T09:04:46,2025-03-03T09:05:04,S007,7
T009,2025-03-03T09:09:59,2025-03-03T09:10:18,S008,8
T009,2025-03-03T09:14:41,2025-03-03T09:15:10,S009,9
T009,2025-03-03T09:20:31,2025-03-03T09:21:03,S010,10
T009,2025-03-03T09:24:56,2025-03-03T09:25:37,S011,11
T009,2025-03-03T09:30:20,2025-03-03T09:30:43,S012,12
T010,2025-03-03T08:58:00,2025-03-03T08:58:31,S012,1
T010,2025-03-03T09:03:50,2025-03-03T09:04:24,S011,2
T010,2025-03-03T09:09:55,2025-03-03T09:10:31,S010,3
T010,2025-03-03T09:14:01,2025-03-03T09:14:32,S009,4
T010,2025-03-03T09:19:35,2025-03-03T09:19:58,S008,5
T010,2025-03-03T09:24:02,2025-03-03T09:24:34,S007,6
T010,2025-03-03T09:29:29,2025-03-03T09:30:09,S006,7
T010,2025-03-03T09:33:47,2025-03-03T09:34:25,S005,8
T010,2025-03-03T09:38:05,2025-03-03T09:38:30,S004,9
T010,2025-03-03T09:41:53,2025-03-03T09:42:31,S003,10
T010,2025-03-03T09:47:00,2025-03-03T09:47:24,S002,11
