route_id,service_id,trip_id,trip_headsign,direction_id
T,WKD,T003,S012,0
T,WKD,T004,S001,0
T,WKD,T005,S012,0
T,WKD,T006,S001,0
T,WKD,T007,S012,0
T,WKD,T008,S001,0
T,WKD,T009,S012,0
T,WKD,T010,S001,0
T,WKD,T011,S012,0
T,WKD,T018,S013,0
T,WKD,T019,S024,0
T,WKD,T020,S013,0
T,WKD,T021,S024,0
T,WKD,T022,S013,0
T,WKD,T023,S024,0
T,WKD,T024,S013,0
T,WKD,T025,S024,0
T,WKD,T032,S025,0
T,WKD,T033,S036,0
T,WKD,T034,S025,0
T,WKD,T035,S036,0
T,WKD,T036,S025,0
T,WKD,T037,S036,0
T,WKD,T038,S025,0
T,WKD,T039,S036,0
T,WKD,T046,S037,0
T,WKD,T047,S048,0
T,WKD,T048,S037,0
T,WKD,T049,S048,0
T,WKD,T050,S037,0
T,WKD,T051,S048,0
T,WKD,T052,S037,0
T,WKD,T053,S048,0
T,WKD,T060,S049,0
T,WKD,T061,S060,0
T,WKD,T062,S049,0
T,WKD,T063,S060,0
T,WKD,T064,S049,0
T,WKD,T065,S060,0
T,WKD,T066,S049,0
T,WKD,T067,S060,0
T,WKD,T074,S001,0
T,WKD,T075,S012,0
T,WKD,T076,S001,0
T,WKD,T077,S012,0
T,WKD,T078,S001,0
T,WKD,T079,S012,0
T,WKD,T080,S001,0
T,WKD,T081,S012,0
T,WKD,T088,S013,0
T,WKD,T089,S024,0
T,WKD,T090,S013,0
T,WKD,T091,S024,0
T,WKD,T092,S013,0
T,WKD,T093,S024,0
T,WKD,T094,S013,0
T,WKD,T095,S024,0
T,WKD,T101,S036,0
T,WKD,T102,S025,0
T,WKD,T103,S036,0
T,WKD,T104,S025,0
T,WKD,T105,S036,0
T,WKD,T106,S025,0
T,WKD,T107,S036,0
T,WKD,T108,S025,0
T,WKD,T109,S036,0
T,WKD,T116,S037,0
T,WKD,T117,S048,0
T,WKD,T118,S037,0
T,WKD,T119,S048,0
T,WKD,T120,S037,0
T,WKD,T121,S048,0
T,WKD,T122,S037,0
T,WKD,T123,S048,0
T,WKD,T129,S060,0
T,WKD,T130,S049,0
T,WKD,T131,S060,0
T,WKD,T132,S049,0
T,WKD,T133,S060,0
T,WKD,T134,S049,0
T,WKD,T135,S060,0
T,WKD,T136,S049,0
T,WKD,T137,S060,0
T,WKD,T143,S012,0
T,WKD,T144,S001,0
T,WKD,T145,S012,0
T,WKD,T146,S001,0
T,WKD,T147,S012,0
T,WKD,T148,S001,0
T,WKD,T149,S012,0
T,WKD,T150,S001,0
T,WKD,T151,S012,0
T,WKD,T158,S013,0
T,WKD,T159,S024,0
T,WKD,T160,S013,0
T,WKD,T161,S024,0
T,WKD,T162,S013,0
T,WKD,T163,S024,0
T,WKD,T164,S013,0
T,WKD,T165,S024,0
T,WKD,T172,S025,0
T,WKD,T173,S036,0
T,WKD,T174,S025,0
T,WKD,T175,S036,0
T,WKD,T176,S025,0
T,WKD,T177,S036,0
T,WKD,T178,S025,0
T,WKD,T179,S036,0
T,WKD,T186,S037,0
T,WKD,T187,S048,0
T,WKD,T188,S037,0
T,WKD,T189,S048,0
T,WKD,T190,S037,0
T,WKD,T191,S048,0
T,WKD,T192,S037,0
T,WKD,T193,S048,0
T,WKD,T199,S060,0
T,WKD,T200,S049,0
T,WKD,T201,S060,0
T,WKD,T202,S049,0
T,WKD,T203,S060,0
T,WKD,T204,S049,0
T,WKD,T205,S060,0
T,WKD,T206,S049,0
T,WKD,T207,S060,0
T,WKD,T214,S001,0
T,WKD,T215,S012,0
T,WKD,T216,S001,0
T,WKD,T217,S012,0
T,WKD,T218,S001,0
T,WKD,T219,S012,0
T,WKD,T220,S001,0
T,WKD,T221,S012,0
T,WKD,T228,S013,0
T,WKD,T229,S024,0
T,WKD,T230,S013,0
T,WKD,T231,S024,0
T,WKD,T232,S013,0
T,WKD,T233,S024,0
T,WKD,T234,S013,0
T,WKD,T235,S024,0
T,WKD,T242,S025,0
T,WKD,T243,S036,0
T,WKD,T244,S025,0
T,WKD,T245,S036,0
T,WKD,T246,S025,0
T,WKD,T247,S036,0
T,WKD,T248,S025,0
T,WKD,T249,S036,0
T,WKD,T255,S048,0
T,WKD,T256,S037,0
T,WKD,T257,S048,0
T,WKD,T258,S037,0
T,WKD,T259,S048,0
T,WKD,T260,S037,0
T,WKD,T261,S048,0
T,WKD,T262,S037,0
T,WKD,T263,S048,0
T,WKD,T270,S049,0
T,WKD,T271,S060,0
T,WKD,T272,S049,0
T,WKD,T273,S060,0
T,WKD,T274,S049,0
T,WKD,T275,S060,0
T,WKD,T276,S049,0
T,WKD,T277,S060,0
T,WKD,T283,S012,0
T,WKD,T284,S001,0
T,WKD,T285,S012,0
T,WKD,T286,S001,0
T,WKD,T287,S012,0
T,WKD,T288,S001,0
T,WKD,T289,S012,0
T,WKD,T290,S001,0
T,WKD,T291,S012,0
T,WKD,T298,S013,0
T,WKD,T299,S024,0
T,WKD,T300,S013,0
T,WKD,T301,S024,0
T,WKD,T302,S013,0
T,WKD,T303,S024,0
T,WKD,T304,S013,0
T,WKD,T305,S024,0
T,WKD,T312,S025,0
T,WKD,T313,S036,0
T,WKD,T314,S025,0
T,WKD,T315,S036,0
T,WKD,T316,S025,0
T,WKD,T317,S036,0
T,WKD,T318,S025,0
T,WKD,T319,S036,0
T,WKD,T326,S037,0
T,WKD,T327,S048,0
T,WKD,T328,S037,0
T,WKD,T329,S048,0
T,WKD,T330,S037,0
T,WKD,T331,S048,0
T,WKD,T332,S037,0
T,WKD,T333,S048,0
T,WKD,T340,S049,0
